Day,Date (actual),Austria,Belgium,Czechia,Denmark,France,Germany,Ireland,Italy,Luxembourg,Netherlands,Norway,Poland,Portugal,Romania,Spain,Sweden,Switzerland,UK
0,09/01/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,10/01/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,11/01/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,12/01/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,13/01/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,14/01/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,15/01/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,16/01/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,17/01/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,18/01/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,19/01/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,20/01/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,21/01/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,22/01/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,23/01/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,24/01/2020,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
16,25/01/2020,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
17,26/01/2020,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
18,27/01/2020,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0
19,28/01/2020,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0
20,29/01/2020,0,0,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0
21,30/01/2020,0,0,0,0,6,5,0,2,0,0,0,0,0,0,0,0,0,0
22,31/01/2020,0,0,0,0,6,7,0,2,0,0,0,0,0,0,1,1,0,2
23,01/02/2020,0,0,0,0,6,8,0,2,0,0,0,0,0,0,1,1,0,2
24,02/02/2020,0,0,0,0,6,10,0,2,0,0,0,0,0,0,1,1,0,2
25,03/02/2020,0,0,0,0,6,12,0,2,0,0,0,0,0,0,1,1,0,2
26,04/02/2020,0,1,0,0,6,12,0,2,0,0,0,0,0,0,1,1,0,2
27,05/02/2020,0,1,0,0,6,12,0,2,0,0,0,0,0,0,1,1,0,2
28,06/02/2020,0,1,0,0,6,13,0,3,0,0,0,0,0,0,1,1,0,3
29,07/02/2020,0,1,0,0,6,14,0,3,0,0,0,0,0,0,1,1,0,3
30,08/02/2020,0,1,0,0,11,14,0,3,0,0,0,0,0,0,1,1,0,3
31,09/02/2020,0,1,0,0,11,14,0,3,0,0,0,0,0,0,2,1,0,4
32,10/02/2020,0,1,0,0,11,14,0,3,0,0,0,0,0,0,2,1,0,8
33,11/02/2020,0,1,0,0,11,16,0,3,0,0,0,0,0,0,2,1,0,8
34,12/02/2020,0,1,0,0,11,16,0,3,0,0,0,0,0,0,2,1,0,9
35,13/02/2020,0,1,0,0,11,16,0,3,0,0,0,0,0,0,2,1,0,9
36,14/02/2020,0,1,0,0,11,16,0,3,0,0,0,0,0,0,2,1,0,9
37,15/02/2020,0,1,0,0,12,16,0,3,0,0,0,0,0,0,2,1,0,9
38,16/02/2020,0,1,0,0,12,16,0,3,0,0,0,0,0,0,2,1,0,9
39,17/02/2020,0,1,0,0,12,16,0,3,0,0,0,0,0,0,2,1,0,9
40,18/02/2020,0,1,0,0,12,16,0,3,0,0,0,0,0,0,2,1,0,9
41,19/02/2020,0,1,0,0,12,16,0,3,0,0,0,0,0,0,2,1,0,9
42,20/02/2020,0,1,0,0,12,16,0,3,0,0,0,0,0,0,2,1,0,9
43,21/02/2020,0,1,0,0,12,16,0,9,0,0,0,0,0,0,2,1,0,9
44,22/02/2020,0,1,0,0,12,16,0,76,0,0,0,0,0,0,2,1,0,9
45,23/02/2020,0,1,0,0,12,16,0,124,0,0,0,0,0,0,2,1,0,9
46,24/02/2020,0,1,0,0,12,16,0,229,0,0,0,0,0,0,2,1,0,13
47,25/02/2020,2,1,0,0,12,18,0,322,0,0,0,0,0,0,2,1,1,13
48,26/02/2020,2,1,0,1,18,21,0,400,0,0,1,0,0,1,12,2,1,13
49,27/02/2020,4,1,0,1,38,26,0,650,0,1,4,0,0,1,25,7,6,16
50,28/02/2020,5,1,0,2,57,57,0,888,0,2,6,0,0,3,32,12,10,20
51,29/02/2020,10,1,0,3,100,57,1,1128,0,7,15,0,0,3,45,13,18,23
52,01/03/2020,10,1,3,4,100,129,1,1689,1,13,19,0,0,3,45,14,24,36
53,02/03/2020,18,8,3,5,191,157,1,2036,1,18,25,0,2,3,114,15,30,39
54,03/03/2020,24,8,5,8,212,196,2,2502,1,28,32,1,2,4,151,24,37,51
55,04/03/2020,37,23,5,10,282,262,2,3089,1,38,56,1,7,4,198,35,56,89
56,05/03/2020,47,50,12,18,420,534,14,3858,1,82,86,1,9,6,257,61,86,118
57,06/03/2020,66,109,12,23,613,639,18,4636,2,128,113,5,13,7,374,137,209,167
58,07/03/2020,104,169,26,31,706,795,19,5883,2,188,147,6,21,13,430,161,264,210
59,08/03/2020,112,200,32,36,1116,1112,21,7375,2,265,169,11,30,15,589,203,332,277
60,09/03/2020,131,239,38,90,1402,1139,24,9172,5,321,192,16,30,15,1024,248,332,323
61,10/03/2020,182,267,61,262,1774,1296,34,10149,5,382,277,22,41,25,1639,326,491,373
62,11/03/2020,302,314,94,615,2269,1567,43,12462,17,503,489,44,41,48,2140,461,645,460
63,12/03/2020,361,314,116,674,2860,2369,70,15113,17,614,489,49,41,48,2965,620,858,594
64,13/03/2020,504,599,150,801,3640,3062,90,17660,38,804,750,64,112,64,4231,775,1125,802
65,14/03/2020,800,689,214,827,4469,3795,129,21157,38,959,907,111,112,123,5753,924,1359,1144
66,15/03/2020,959,1085,298,898,5380,4838,169,24747,38,1135,1077,150,245,158,7753,992,2200,1395
67,16/03/2020,1132,1085,383,960,6573,6012,223,27980,81,1413,1169,150,331,158,9191,1059,2200,1547
68,17/03/2020,1332,1486,434,977,7652,7156,292,31506,140,1705,1308,246,448,184,11178,1167,2650,1954
69,18/03/2020,1646,1486,522,1044,9043,8198,292,35713,210,2051,1423,287,642,246,13716,1279,3010,2630
70,19/03/2020,1843,1795,694,1132,10877,10999,557,41035,345,2460,1552,325,785,260,17147,1423,3863,3277
71,20/03/2020,2649,2257,904,1255,12475,18323,683,47021,484,2994,1742,425,1020,308,19980,1623,4840,3983
72,21/03/2020,3024,2815,995,1326,14296,21463,785,53578,670,3631,1926,536,1280,367,24926,1746,6077,5018
73,22/03/2020,3631,3401,1165,1395,15821,24774,906,59138,798,4204,2132,634,1600,433,28572,1906,6971,5687
74,23/03/2020,4486,3743,1236,1460,19615,29212,1125,63927,875,4749,2371,749,2060,576,33089,2016,8015,6654
75,24/03/2020,5282,4269,1394,1591,22025,31554,1329,69176,1099,5560,2566,901,2362,762,39673,2272,8789,8081
76,25/03/2020,5888,4937,1654,1724,24920,36508,1564,74386,1333,6412,2916,1051,2995,906,47610,2510,9714,9533
77,26/03/2020,7029,6235,2062,1877,28786,42288,1819,80539,1453,7431,3156,1221,3544,1029,56188,2806,10714,11662
78,27/03/2020,7697,7284,2279,2046,32542,48582,2121,86498,1605,8603,3581,1389,4268,1292,64059,3046,12104,14547
79,28/03/2020,8291,9134,2663,2201,37145,52547,2415,92472,1831,9762,3845,1638,5170,1452,72248,3447,13152,17093
80,29/03/2020,8813,10836,2829,2395,39642,57298,2615,97689,1950,10866,4102,1862,5962,1760,78797,3700,14274,19526
81,30/03/2020,9618,11899,3002,2577,43977,61913,2910,101739,1988,11750,4226,2055,6408,1952,85195,4028,15412,22145